Nome;CPF;Cargo;Email;ChavePIX;HorasTrabalhadas
João Lucas;12345678900;Dev Junior;joao.auser@email.com;joao.pix;165
Ana Silva;23456789011;Dev Pleno;ana.silva@email.com;ana.pix;160
Carlos Souza;34567890122;Dev Senior;carlos.s@email.com;carlos.pix;172
Beatriz Lima;45678901233;Tech Lead;b.lima@email.com;beatriz.pix;160
Marcos Rego;00000000000;Dev Junior;marcos.rego@email.com;marcos.pix;168
Elena Pires;56789012344;Dev Pleno;elena.p@email.com;elena.pix;160
Ricardo Ohara;67890123455;Dev Pleno;ricardo.o@email.com;ricardo.pix;180
Fabiana Costa;78901234566;Dev Senior;fabiana.c@email.com;fabi.pix;160
Gabriel Monte;89012345677;Dev Junior;gabriel.m@email.com;gab.pix;162
Helena Rosa;90123456788;Dev Pleno;helena.r@email.com;helena.pix;160
Igor Matos;01234567899;Dev Pleno;igor.m@email.com;igor.pix;175
Julia Paiva;12345678901;Dev Senior;julia.p@email.com;ju.pix;160
Kevin Silva;23456789012;Dev Junior;kevin.s@email.com;kevin.pix;160
Larissa Luz;34567890123;Dev Pleno;larissa.l@email.com;lari.pix;164
Murilo Vaz;45678901234;Dev Pleno;murilo.v@email.com;mu.pix;160
Natália Noa;56789012345;Dev Senior;natalia.n@email.com;nat.pix;168
Otávio Oliveira;67890123456;Tech Lead;otavio.o@email.com;ota.pix;160
Priscila Perla;78901234567;Dev Pleno;priscila.p@email.com;pri.pix;170
Queiroz Quintas;89012345678;Dev Junior;queiroz.q@email.com;q.pix;160
Rita Rocha;90123456789;Dev Pleno;rita.r@email.com;rita.pix;160
Samuel Santos;01234567890;Dev Pleno;samuel.s@email.com;sam.pix;166
Talita Terra;12345678911;Dev Senior;talita.t@email.com;tali.pix;160
Uriel Umberto;23456789012;Dev Junior;uriel.u@email.com;uri.pix;160
Vitor Valente;34567890123;Dev Pleno;vitor.v@email.com;vitor.pix;178
Wendel Wand;45678901234;Dev Senior;wendel.w@email.com;wen.pix;160
Xavier Xisto;56789012345;Dev Pleno;xavier.x@email.com;xav.pix;160
Yara Yan;67890123456;Dev Pleno;yara.y@email.com;yara.pix;162
Zeca Ziraldo;78901234567;Dev Junior;zeca.z@email.com;zeca.pix;160
Arthur Antunes;89012345678;Dev Pleno;arthur.a@email.com;art.pix;160
Bruna Bruno;90123456789;Dev Senior;bruna.b@email.com;bru.pix;185
Caio Castro;11122233344;Dev Pleno;caio.c@email.com;caio.pix;160
Dora Dantas;12345678922;Tech Lead;dora.d@email.com;dora.pix;160
Enzo Eiras;23456789033;Dev Junior;enzo.e@email.com;enzo.pix;160
Flávia Farias;34567890144;Dev Pleno;flavia.f@email.com;fla.pix;170
Guto Gouveia;45678901255;Dev Pleno;guto.g@email.com;guto.pix;160
Hilda Horta;56789012366;Dev Senior;hilda.h@email.com;hilda.pix;160
Ivone Iara;67890123477;Dev Junior;ivone.i@email.com;ivone.pix;164
Jorge Justo;78901234588;Dev Pleno;jorge.j@email.com;jorge.pix;160
Kelly Kléber;89012345699;Dev Pleno;kelly.k@email.com;kelly.pix;160
Luís Lira;90123456700;Dev Senior;luis.l@email.com;luis.pix;160
Mário Matos;01234567811;Tech Lead;mario.m@email.com;mario.pix;170
Nara Nogueira;99988877766;Dev Junior;nara.n@email.com;nara.pix;160
Olavo Olavo;12345678922;Dev Pleno;olavo.o@email.com;olavo.pix;160
Paula Pires;23456789033;Dev Pleno;paula.p@email.com;paula.pix;160
Quico Quirino;34567890144;Dev Senior;quico.q@email.com;quico.pix;160
Rosa Rosa;45678901255;Dev Junior;rosa.r@email.com;rosa.pix;160
Sandro Santos;56789012366;Dev Pleno;sandro.s@email.com;sandro.pix;160
Tiago Terra;67890123477;Dev Pleno;tiago.t@email.com;tiago.pix;172
Ulysses Umberto;78901234588;Dev Senior;ulysses.u@email.com;uly.pix;160
Vanda Valente;00011122233;Tech Lead;vanda.v@email.com;vanda.pix;160
